id;start_date;end_date;language
1;2024-10-31T12:48:51;2024-10-31T21:46:36;FRENCH
2;2024-10-31T08:38:14;2024-10-31T11:51:58;FRENCH
3;2024-10-31T06:09:08;2024-10-31T11:57:56;FRENCH
4;2024-11-01T00:06:57;2024-10-31T21:04:34;SPANISH
5;2024-10-31T21:55:27;2024-10-31T13:22:53;SPANISH
6;2024-10-31T09:59:51;2024-11-01T01:02:01;FRENCH
7;2024-10-31T14:38:14;2024-10-31T21:33:19;SPANISH
8;2024-10-31T21:25:42;2024-10-31T04:18:05;SPANISH
9;2024-10-31T13:45:21;2024-10-31T16:29:08;FRENCH
10;2024-10-31T03:59:50;2024-10-31T15:11:53;FRENCH
