id;street_address;postal_code;city;state_province
1;eek per;whoever whale legend;Gilbert;dependent ha shipper
2;phooey;planula;Grantbury;disapprove tabulate hm
3;till overcharge;nerve;Fort Shanelleton;hypothesise querulous lest
4;whenever;swiftly idle;Fort Garnet;sashay
5;astride governance obnoxiously;knuckle the diver;South Jarvis;summarise major meanwhile
6;drag;finished enroll into;Labadieside;rarely singing zowie
7;upon;careless;Fort Wavaboro;procrastinate maroon though
8;yum;phew;Felipefort;characterization galvanize ew
9;ecliptic;wherever festival;Wiegandview;bah
10;paintwork deliberately;searchingly gosh yowza;Pedroview;soap
